Year	Month	Day	Hour	Windspeed	Winddirection
7	11	16	24	15.2	210.7
7	11	17	1	19.63	206.3
7	11	17	2	21	202
7	11	17	3	18.46	199.1
7	11	17	4	24.44	194.1
7	11	17	5	25.72	200.1
7	11	17	6	19.42	204.9
7	11	17	7	16.32	208
7	11	17	8	13.01	203.6
7	11	17	9	10.06	194.7
7	11	17	10	7.35	196.5
7	11	17	11	12.3	192.7
7	11	17	12	13.42	189.9
7	11	17	13	16.56	198
7	11	17	14	26.19	201.5
7	11	17	15	39.38	217
7	11	17	16	48.23	224.1
7	11	17	17	53.09	227
7	11	17	18	49.82	225.1
7	11	17	19	50.73	228.3
7	11	17	20	50.88	228.7
7	11	17	21	34.02	240.5
7	11	17	22	24.36	240.8
7	11	17	23	29.39	231.5
7	11	17	24	28.14	227.4
7	11	18	1	20.86	220
7	11	18	2	15.72	206
7	11	18	3	13.85	206.9
7	11	18	4	5.31	287.9
7	11	18	5	7.065	12.96
7	11	18	6	7.425	26.67
7	11	18	7	9.6	21.33
7	11	18	8	11.6	22.4
7	11	18	9	10.84	25.71
7	11	18	10	9.04	340.9
7	11	18	11	12.1	355.3
7	11	18	12	12.86	4.829
7	11	18	13	13.57	1.705
7	11	18	14	18.5	4.684
7	11	18	15	20.3	6.525
7	11	18	16	20.08	6.115
7	11	18	17	22.66	11.56
7	11	18	18	19.8	3.62
7	11	18	19	18.47	354.5
7	11	18	20	15.51	344.7
7	11	18	21	10.8	341.4
7	11	18	22	8.39	341.6
7	11	18	23	6.998	331.4
7	11	18	24	5.224	321.4
7	11	19	1	5.294	322.1
7	11	19	2	3.077	323.2
7	11	19	3	1.616	326.7
7	11	19	4	11.34	349.1
7	11	19	5	10.42	332.8
7	11	19	6	6.367	319.4
7	11	19	7	8.91	315.6
7	11	19	8	6.663	263.4
7	11	19	9	6.282	214.2
7	11	19	10	8.81	206.1
7	11	19	11	9.79	201.8
7	11	19	12	10.66	201.7
7	11	19	13	8.4	194.5
7	11	19	14	13.09	194
7	11	19	15	14.83	192.8
7	11	19	16	13.54	188.4
7	11	19	17	9.67	190.5
7	11	19	18	13.76	199.8
7	11	19	19	12.51	216.9
7	11	19	20	11.59	232.5
7	11	19	21	10.76	238.6
7	11	19	22	9.83	243
7	11	19	23	6.639	242.4
7	11	19	24	6.519	287.7
7	11	20	1	9.98	311.9
7	11	20	2	7.506	291
7	11	20	3	5.731	295
7	11	20	4	6.617	303.2
7	11	20	5	6.661	318.9
7	11	20	6	6.117	328.9
7	11	20	7	7.23	334.9
7	11	20	8	6.024	309.6
7	11	20	9	6.388	322.1
7	11	20	10	4.361	306.2
7	11	20	11	5.895	328.4
7	11	20	12	5.308	343.2
7	11	20	13	6.555	358
7	11	20	14	3.911	0.697
7	11	20	15	1.275	329.4
7	11	20	16	1.73	216
7	11	20	17	1.721	183.3
7	11	20	18	2.493	307.8
7	11	20	19	1.868	298.3
7	11	20	20	1.787	273.2
7	11	20	21	2.665	12.51
7	11	20	22	3.634	19.3
7	11	20	23	5.559	12.69
7	11	20	24	6.959	24.77
7	11	21	1	8.52	55.92
7	11	21	2	9.52	73.02
7	11	21	3	9.7	70.05
7	11	21	4	10.33	62.48
7	11	21	5	8.22	47.06
7	11	21	6	9.3	49.84
7	11	21	7	9.39	36.86
7	11	21	8	9.25	346.8
7	11	21	9	10.18	355.3
7	11	21	10	10.47	359.4
7	11	21	11	9.03	355.4
7	11	21	12	10.27	0.914
7	11	21	13	13.83	21.06
7	11	21	14	15.35	28.48
7	11	21	15	15.53	23.88
7	11	21	16	17.35	19.13
7	11	21	17	16.13	12.57
7	11	21	18	17.29	7.947
7	11	21	19	16.5	2.643
7	11	21	20	15.98	348.3
7	11	21	21	16.85	350.2
7	11	21	22	15.19	352.5
7	11	21	23	11.38	345.1
7	11	21	24	12.68	343.8
7	11	22	1	16.56	353.3
7	11	22	2	14.84	5.945
7	11	22	3	9.77	6.963
7	11	22	4	6.439	338.4
7	11	22	5	8.13	332.9
7	11	22	6	10.45	350.7
7	11	22	7	9.03	26.21
7	11	22	8	6.229	36.43
7	11	22	9	4.884	20.27
7	11	22	10	6.15	19.32
7	11	22	11	10.38	22.79
7	11	22	12	12.8	16.92
7	11	22	13	9.29	357.3
7	11	22	14	11.07	7.296
7	11	22	15	12.46	24.66
7	11	22	16	7.298	35.89
7	11	22	17	4.904	68.21
7	11	22	18	4.322	113.8
7	11	22	19	2.574	58.27
7	11	22	20	3.154	27.82
7	11	22	21	5.75	24.24
7	11	22	22	4.316	33.49
7	11	22	23	2.115	58.74
7	11	22	24	1.929	98.3
7	11	23	1	2.149	45.85
7	11	23	2	2.094	133.2
7	11	23	3	3.457	301.6
7	11	23	4	3.506	285.3
7	11	23	5	2.645	301
7	11	23	6	4.364	320.5
7	11	23	7	2.392	305.7
7	11	23	8	1.036	8.51
7	11	23	9	2.214	316.5
7	11	23	10	2.251	344.6
7	11	23	11	2.68	358.6
7	11	23	12	3.024	358.7
7	11	23	13	4.74	6.314
7	11	23	14	5.527	14.96
7	11	23	15	6.733	15.64
7	11	23	16	5.387	13.28
7	11	23	17	4.176	350.6
7	11	23	18	4.104	347.3
7	11	23	19	5.047	339.9
7	11	23	20	4.089	320
7	11	23	21	2.951	298.9
7	11	23	22	3.171	338.5
7	11	23	23	2.46	358.6
7	11	23	24	0.827	12.34
7	11	24	1	2.411	342
7	11	24	2	2.709	336
7	11	24	3	2.783	329.3
7	11	24	4	1.741	0.419
7	11	24	5	1.55	249.9
7	11	24	6	2.498	176.6
7	11	24	7	1.746	203.5
7	11	24	8	2.4	97
7	11	24	9	3.288	152.4
7	11	24	10	3.144	175.3
7	11	24	11	3.5	173.9
7	11	24	12	6.322	195.4
7	11	24	13	7.306	201.9
7	11	24	14	6.044	221.4
7	11	24	15	5.604	218
7	11	24	16	9.24	197.9
7	11	24	17	9.31	182.2
7	11	24	18	3.817	182.6
7	11	24	19	4.751	41.04
7	11	24	20	6.349	11.95
7	11	24	21	6.051	359.5
7	11	24	22	3.482	338.3
7	11	24	23	6.449	344.9
7	11	24	24	7.858	353.6
7	11	25	1	7.107	3.777
7	11	25	2	9.38	22.6
7	11	25	3	10	17.81
7	11	25	4	10.08	10.83
7	11	25	5	8.68	3.822
7	11	25	6	6.977	354.1
7	11	25	7	8.11	357.6
7	11	25	8	5.572	12.97
7	11	25	9	6.345	20.41
7	11	25	10	3.322	22.83
7	11	25	11	1.559	19.08
7	11	25	12	0.847	203.9
7	11	25	13	1.051	357.3
7	11	25	14	1.839	10.28
7	11	25	15	1.199	211.7
7	11	25	16	0.594	86.6
7	11	25	17	1.086	69.26
7	11	25	18	1.083	10.8
7	11	25	19	1.29	252.5
7	11	25	20	1.045	51.77
7	11	25	21	1.439	39.49
7	11	25	22	1.683	93.8
7	11	25	23	1.388	69.98
7	11	25	24	3.851	19.27
7	11	26	1	3.568	17.63
7	11	26	2	0.681	76.93
7	11	26	3	0.732	79.22
7	11	26	4	1.413	85.5
7	11	26	5	2.282	24.19
7	11	26	6	1.576	49.39
7	11	26	7	1.387	144
7	11	26	8	1.83	141.1
7	11	26	9	1.698	75.68
7	11	26	10	4.622	23.97
7	11	26	11	5.368	352.7
7	11	26	12	3.148	336.7
7	11	26	13	2.877	192.3
7	11	26	14	3.029	192.5
7	11	26	15	0.948	155.4
7	11	26	16	7.356	118.4
7	11	26	17	8.28	16.19
7	11	26	18	7.006	0.037
7	11	26	19	10.9	194.2
7	11	26	20	11.94	196
7	11	26	21	26.74	194.9
7	11	26	22	38.99	200.6
7	11	26	23	43.99	206.4
7	11	26	24	45.9	208.3
7	11	27	1	52.65	213.2
7	11	27	2	46.15	217.7
7	11	27	3	43.87	221.8
7	11	27	4	39.97	224.7
7	11	27	5	27.63	220.1
7	11	27	6	29.04	210.8
7	11	27	7	30.97	210.9
7	11	27	8	30.9	212.3
7	11	27	9	33.21	221.1
7	11	27	10	33.28	216
7	11	27	11	33.67	213.9
7	11	27	12	32.4	219
7	11	27	13	25.31	222.7
7	11	27	14	23.24	225.9
7	11	27	15	20.67	224.6
7	11	27	16	19.01	224.4
7	11	27	17	16.67	226.5
7	11	27	18	15	233.8
7	11	27	19	9.2	252.9
7	11	27	20	13.38	250.4
7	11	27	21	15.46	238
7	11	27	22	13.79	221.3
7	11	27	23	12.86	224.9
7	11	27	24	10.4	232.4
7	11	28	1	13.45	214.6
7	11	28	2	15.01	210.6
7	11	28	3	16.05	205.3
7	11	28	4	13.2	204.5
7	11	28	5	12.88	209.7
7	11	28	6	22.34	203.7
7	11	28	7	28.12	194.8
7	11	28	8	29.18	196
7	11	28	9	29.97	204.1
7	11	28	10	26.85	205.3
7	11	28	11	24.93	203.9
7	11	28	12	8.17	201.6
7	11	28	13	7.276	160.1
7	11	28	14	9.24	166.3
7	11	28	15	8.95	132.4
7	11	28	16	9.09	96
7	11	28	17	6.159	129
7	11	28	18	5.377	326.3
7	11	28	19	5.1	336.4
7	11	28	20	5.062	36.98
7	11	28	21	5.982	67.38
7	11	28	22	6.415	94.1
7	11	28	23	4.401	200.4
7	11	28	24	7.502	300.8
7	11	29	1	8.38	313.2
7	11	29	2	10.29	325.2
7	11	29	3	11.98	326.8
7	11	29	4	10.67	328.2
7	11	29	5	8.56	325.9
7	11	29	6	7.56	325.3
7	11	29	7	7.3	332.3
7	11	29	8	7.135	337.4
7	11	29	9	7.322	338.7
7	11	29	10	7.872	343.1
7	11	29	11	7.713	336.5
7	11	29	12	8.11	338.2
7	11	29	13	9.85	340.8
7	11	29	14	11.83	342.2
7	11	29	15	12.69	352.6
7	11	29	16	14.47	357.2
7	11	29	17	15.99	357
7	11	29	18	16.53	355.7
7	11	29	19	14.86	353.2
7	11	29	20	14.93	349.2
7	11	29	21	13.8	345.4
7	11	29	22	13	343.5
7	11	29	23	10.03	322.6
7	11	29	24	9.29	314.4
7	11	30	1	9.56	308
7	11	30	2	9.69	316.4
7	11	30	3	10.94	328.9
7	11	30	4	10.96	331.5
7	11	30	5	10.52	332.5
7	11	30	6	8.67	328.7
7	11	30	7	8.78	306.9
7	11	30	8	11.47	308.8
7	11	30	9	12.39	312.1
7	11	30	10	11.48	310.8
7	11	30	11	10.62	315.6
7	11	30	12	10.55	319.5
7	11	30	13	10.21	319.5
7	11	30	14	11	328.7
7	11	30	15	11.61	333.9
7	11	30	16	11.33	336.8
7	11	30	17	10.01	352.8
7	11	30	18	9.57	348.3
7	11	30	19	7.269	344.2
7	11	30	20	7.287	344.3
7	11	30	21	8.89	328.3
7	11	30	22	12.05	341
7	11	30	23	12	0.745
7	11	30	24	9.73	357
7	12	1	1	9.62	359.9
7	12	1	2	8.24	0.135
7	12	1	3	8.62	9.91
7	12	1	4	8.37	3.774
7	12	1	5	7.102	344.3
7	12	1	6	10.74	319.2
7	12	1	7	11.86	310
7	12	1	8	10.45	315.8
7	12	1	9	10.84	297.3
7	12	1	10	9.52	298.8
7	12	1	11	7.261	241.7
7	12	1	12	10.56	208.2
7	12	1	13	9.95	190.8
7	12	1	14	7.43	198.1
7	12	1	15	7.111	146.1
7	12	1	16	18.44	152.3
7	12	1	17	18.45	160
7	12	1	18	25.94	170.7
7	12	1	19	26.82	187.8
7	12	1	20	24	194.1
7	12	1	21	27.02	202.4
7	12	1	22	33.9	203.5
7	12	1	23	37.39	206.1
7	12	1	24	39.37	204.8
7	12	2	1	35.98	205.9
7	12	2	2	34.49	194.4
7	12	2	3	45.25	198.3
7	12	2	4	47.44	200.3
7	12	2	5	44.33	199.1
7	12	2	6	43.47	199.6
7	12	2	7	46.26	192.4
7	12	2	8	53.43	189
7	12	2	9	44.45	190.6
7	12	2	10	39.36	187
7	12	2	11	50.88	184.7
7	12	2	12	45.03	189.5
7	12	2	13	51.53	187.7
7	12	2	14	42.84	191.6
7	12	2	15	28.63	199.7
7	12	2	16	36.79	193.6
7	12	2	17	40.86	194.5
7	12	2	18	44.13	198
7	12	2	19	54.84	200.3
7	12	2	20	42.73	199.1
7	12	2	21	25.9	186.4
7	12	2	22	38.85	185.9
7	12	2	23	38.2	187.7
7	12	2	24	36.64	196.2
7	12	3	1	40.16	195.4
7	12	3	2	35.51	191.6
7	12	3	3	36.39	198.4
7	12	3	4	38.91	194.7
7	12	3	5	40.83	191.6
7	12	3	6	36.54	193.3
7	12	3	7	42.17	197.1
7	12	3	8	37.15	197.2
7	12	3	9	35.53	198.1
7	12	3	10	45.33	196.5
7	12	3	11	57.71	200.9
7	12	3	12	66.23	198.6
7	12	3	13	51.99	198.2
7	12	3	14	54.33	205
7	12	3	15	47.55	204.5
7	12	3	16	36.75	202.3
7	12	3	17	44.61	211.5
7	12	3	18	40.24	213.7
7	12	3	19	29.44	210.6
7	12	3	20	28.31	206.4
7	12	3	21	37.21	212.9
7	12	3	22	31.85	205.6
7	12	3	23	33.77	204.8
7	12	3	24	36.53	214
7	12	4	1	33.04	225.5
7	12	4	2	38.64	213.6
7	12	4	3	36.22	212.3
7	12	4	4	40.56	220.7
7	12	4	5	49.1	214.1
7	12	4	6	50.33	219.5
7	12	4	7	41.79	218.4
7	12	4	8	39.17	216.9
7	12	4	9	33.56	213.5
7	12	4	10	37.72	216.9
7	12	4	11	42.25	220.5
7	12	4	12	39.53	223.7
7	12	4	13	37.04	229.2
7	12	4	14	40.15	241.2
7	12	4	15	39.01	241.9
7	12	4	16	40.17	230.6
7	12	4	17	43.46	227.6
7	12	4	18	43.23	226.3
7	12	4	19	47.08	221.4
7	12	4	20	37.88	225.9
7	12	4	21	23.46	227.3
7	12	4	22	27.1	218
7	12	4	23	28.09	216.1
7	12	4	24	30.85	213
7	12	5	1	34.13	214.1
7	12	5	2	37.59	214.7
7	12	5	3	34.6	212.1
7	12	5	4	34.21	209
7	12	5	5	28	217.4
7	12	5	6	23.17	216.9
7	12	5	7	21.8	216
7	12	5	8	20.6	217
7	12	5	9	15.68	232
7	12	5	10	15.11	215.7
7	12	5	11	20.68	209.7
7	12	5	12	21.19	224
7	12	5	13	19.76	222.3
7	12	5	14	19.77	215.6
7	12	5	15	22.22	221.5
7	12	5	16	17.5	223.1
7	12	5	17	16.6	220.1
7	12	5	18	9.99	203.6
7	12	5	19	6.686	251
7	12	5	20	5.927	335
7	12	5	21	4.118	16.92
7	12	5	22	3.662	147.6
7	12	5	23	14.74	201.5
7	12	5	24	15.48	211.4
7	12	6	1	14.13	212.5
7	12	6	2	15.09	198.2
7	12	6	3	4.917	180.6
7	12	6	4	4.943	160.2
7	12	6	5	5.334	114.4
7	12	6	6	6.53	114.5
7	12	6	7	5.737	55.28
7	12	6	8	7.83	3.719
7	12	6	9	9.75	347.7
7	12	6	10	14.19	1.751
7	12	6	11	14.61	350
7	12	6	12	14.24	351.7
7	12	6	13	16.21	347.4
7	12	6	14	15.26	348.2
7	12	6	15	14.1	341
7	12	6	16	13.24	333.9
7	12	6	17	14.23	334.4
7	12	6	18	14.84	338
7	12	6	19	15.75	335
7	12	6	20	14.94	334.4
7	12	6	21	15.19	335.5
7	12	6	22	15.36	331.3
7	12	6	23	15.66	331.5
7	12	6	24	15.41	344.9
7	12	7	1	14.72	344.8
7	12	7	2	14.01	353.7
7	12	7	3	15.92	356.2
7	12	7	4	15.71	358.7
7	12	7	5	18.36	355.4
7	12	7	6	20.86	353.3
7	12	7	7	22.26	358.8
7	12	7	8	21.42	2.377
7	12	7	9	21.69	355.1
7	12	7	10	22.33	6.159
7	12	7	11	17.56	357.1
7	12	7	12	13.33	358.2
7	12	7	13	9.81	331.3
7	12	7	14	8.28	331.4
7	12	7	15	6.453	314.4
7	12	7	16	4.734	276.6
7	12	7	17	2.954	265.7
7	12	7	18	2.779	299.1
7	12	7	19	2.237	19.6
7	12	7	20	4.815	340.1
7	12	7	21	5.164	17.89
7	12	7	22	4.699	14.16
7	12	7	23	10.75	336.1
7	12	7	24	15.12	344.2
7	12	8	1	19.5	341.9
7	12	8	2	22.34	344.8
7	12	8	3	23.36	343.4
7	12	8	4	24.12	349.2
7	12	8	5	27.15	358.8
7	12	8	6	26.67	1.567
7	12	8	7	26.69	0.853
7	12	8	8	23.35	352.8
7	12	8	9	25.66	355.6
7	12	8	10	20.75	352.6
7	12	8	11	15.93	346.3
7	12	8	12	13.15	335.3
7	12	8	13	10.58	332.7
7	12	8	14	6.243	349.8
7	12	8	15	4.413	299.4
7	12	8	16	9.9	205
7	12	8	17	9.93	198.2
7	12	8	18	11.69	194.6
7	12	8	19	12.8	196.3
7	12	8	20	12.86	202.4
7	12	8	21	12.67	206.5
7	12	8	22	11.49	204
7	12	8	23	12.99	194.4
7	12	8	24	14.26	197.1
7	12	9	1	15.04	198.6
7	12	9	2	17.03	196.6
7	12	9	3	20.1	191.1
7	12	9	4	19.2	191.1
7	12	9	5	19.39	192.6
7	12	9	6	20.61	199
7	12	9	7	21.37	192
7	12	9	8	24.86	191.7
7	12	9	9	21.43	205.7
7	12	9	10	14.99	206.2
7	12	9	11	15.34	204.5
7	12	9	12	13.34	222.2
7	12	9	13	20.77	197.8
7	12	9	14	26.14	200.3
7	12	9	15	20.43	197.9
7	12	9	16	14.67	203.9
7	12	9	17	13.01	227.4
7	12	9	18	16.07	222.7
7	12	9	19	11.62	230.7
7	12	9	20	8.98	200.8
7	12	9	21	7.394	202.9
7	12	9	22	12.91	231.6
7	12	9	23	8.52	217.6
7	12	9	24	14.93	216.9
7	12	10	1	10.47	229.6
7	12	10	2	6.139	295.6
7	12	10	3	9.73	356.4
7	12	10	4	10.03	351.9
7	12	10	5	11.39	8.78
7	12	10	6	10.84	10.75
7	12	10	7	9.71	15.3
7	12	10	8	7.689	16.74
7	12	10	9	4.82	30.62
7	12	10	10	3.68	31.07
7	12	10	11	3.619	27.66
7	12	10	12	3.649	38.59
7	12	10	13	1.59	101.8
7	12	10	14	3.951	183.5
7	12	10	15	4.358	172.2
7	12	10	16	4.372	102.9
7	12	10	17	6.543	26.24
7	12	10	18	3.22	15.06
7	12	10	19	2.351	32.56
7	12	10	20	2.03	56.72
7	12	10	21	4.747	128.4
7	12	10	22	5.321	191.6
7	12	10	23	2.954	170.2
7	12	10	24	2.755	92.1
7	12	11	1	3.083	41.75
7	12	11	2	3.442	22.43
7	12	11	3	2.398	9.43
7	12	11	4	1.176	343
7	12	11	5	1.868	28.61
7	12	11	6	2.859	110.7
7	12	11	7	2.578	152
7	12	11	8	1.932	124.6
7	12	11	9	5.003	165.2
7	12	11	10	5.528	182.1
7	12	11	11	2.419	189.6
7	12	11	12	1.499	128.8
7	12	11	13	2.517	43.76
7	12	11	14	3.529	33.98
7	12	11	15	4.005	38.75
7	12	11	16	5.927	39.22
7	12	11	17	6.019	14.83
7	12	11	18	4.778	356.8
7	12	11	19	3.127	310.1
7	12	11	20	5.962	196.5
7	12	11	21	12.63	177.8
7	12	11	22	19.78	182.8
7	12	11	23	21.73	198.3
7	12	11	24	19.59	197.1
7	12	12	1	41.02	207.9
7	12	12	2	40.99	205.4
7	12	12	3	38.56	206
7	12	12	4	32.25	206.9
7	12	12	5	19.23	208.9
7	12	12	6	17.51	220.8
7	12	12	7	11.83	237.8
7	12	12	8	7.44	249.5
7	12	12	9	5.682	237.1
7	12	12	10	8.27	199.9
7	12	12	11	9.9	206.6
7	12	12	12	10.81	224.3
7	12	12	13	9.1	218.5
7	12	12	14	9.31	199.7
7	12	12	15	7.838	217.2
7	12	12	16	8.67	196.7
7	12	12	17	14.19	209.3
7	12	12	18	20.7	202
7	12	12	19	16.69	205.6
7	12	12	20	14.67	208.8
7	12	12	21	11.39	216.1
7	12	12	22	11.51	215.2
7	12	12	23	11.79	199
7	12	12	24	8.93	219.2
7	12	13	1	8.73	232.3
7	12	13	2	6.722	230.5
7	12	13	3	4.445	233.8
7	12	13	4	6.8	220.3
7	12	13	5	9.65	209.7
7	12	13	6	5.884	214.9
7	12	13	7	5.091	215.1
7	12	13	8	7.606	235.4
7	12	13	9	8.61	224.4
7	12	13	10	12.21	212.1
7	12	13	11	13.49	210
7	12	13	12	13.34	218.6
7	12	13	13	15.59	212.9
7	12	13	14	16.63	213.9
7	12	13	15	18.7	209
7	12	13	16	22.87	204.2
7	12	13	17	19.51	203.7
7	12	13	18	24.65	196.9
7	12	13	19	17.42	208.2
7	12	13	20	15.54	199.4
7	12	13	21	16.46	195.3
7	12	13	22	15.19	194.4
7	12	13	23	13.71	192.9
7	12	13	24	12.01	195.1
7	12	14	1	7.271	226.3
7	12	14	2	8.97	222.4
7	12	14	3	6.077	213.2
7	12	14	4	6.305	341.2
7	12	14	5	5.362	287.2
7	12	14	6	4.683	354.4
7	12	14	7	5.565	22.62
7	12	14	8	6.213	28.7
7	12	14	9	6.016	23.71
7	12	14	10	6.01	16.8
7	12	14	11	6.062	22.32
7	12	14	12	9.12	14.73
7	12	14	13	7.863	10.23
7	12	14	14	8.44	20.86
7	12	14	15	9.21	41.05
7	12	14	16	9.51	32.57
7	12	14	17	8.4	11.69
7	12	14	18	7.434	356.6
7	12	14	19	7.567	359.4
7	12	14	20	7.131	15.19
7	12	14	21	6.334	354.6
7	12	14	22	5.218	14.29
7	12	14	23	3.83	8.2
7	12	14	24	2.882	98.2
7	12	15	1	2.291	169
7	12	15	2	8.2	160.8
7	12	15	3	15.92	197.6
7	12	15	4	26.83	199.7
7	12	15	5	38.51	209.6
7	12	15	6	40.88	202.3
7	12	15	7	37.69	202.9
7	12	15	8	40.78	212.3
7	12	15	9	44.63	221.8
7	12	15	10	45.93	216.5
7	12	15	11	41.06	211.2
7	12	15	12	40.28	210.6
7	12	15	13	36.95	212.5
7	12	15	14	39.51	215
7	12	15	15	37.7	208.9
7	12	15	16	38.62	208.6
7	12	15	17	36.64	214.3
7	12	15	18	37.78	208.1
7	12	15	19	37.08	207.1
7	12	15	20	39.15	204.5
7	12	15	21	39.56	208.1
7	12	15	22	42.46	204.1
7	12	15	23	38.43	204
7	12	15	24	36.15	207.2
7	12	16	1	30.67	204.3
7	12	16	2	24.2	198.8
7	12	16	3	23.22	192.3
7	12	16	4	20.91	189.7
7	12	16	5	14.43	178.2
7	12	16	6	12.5	167.3
7	12	16	7	15.59	160.9
7	12	16	8	17.53	166.7
7	12	16	9	16.96	163.6
7	12	16	10	15.38	158.2
7	12	16	11	19.4	160
7	12	16	12	16.43	163.9
7	12	16	13	15.02	150.4
7	12	16	14	10.54	122.5
7	12	16	15	5.914	355.1
7	12	16	16	5.707	356.5
7	12	16	17	5.989	324.5
7	12	16	18	4.545	316.9
7	12	16	19	5.635	189.7
7	12	16	20	8.78	316.9
7	12	16	21	6.803	330.9
7	12	16	22	10.41	187.3
7	12	16	23	17.47	193.6
7	12	16	24	21.59	199.4
7	12	17	1	27.06	204.2
7	12	17	2	24.35	214.1
7	12	17	3	27.06	208.1
7	12	17	4	25.21	203.2
7	12	17	5	32.67	200
7	12	17	6	35.72	210.2
7	12	17	7	40.31	206.2
7	12	17	8	44.06	212.2
7	12	17	9	45.77	215.9
7	12	17	10	49.24	214.3
7	12	17	11	45.97	219.2
7	12	17	12	40.39	222.4
7	12	17	13	34.52	222.9
7	12	17	14	27.36	220.5
7	12	17	15	22.93	212
7	12	17	16	26.22	213.2
7	12	17	17	20.65	214
7	12	17	18	15.85	212.9
7	12	17	19	11.12	197.3
7	12	17	20	11.43	184
7	12	17	21	13.46	154.1
7	12	17	22	9.89	129.4
7	12	17	23	15.8	163.5
7	12	17	24	18.87	175
7	12	18	1	20.82	169.1
7	12	18	2	16.03	159.3
7	12	18	3	16.71	167
7	12	18	4	12.68	190.3
7	12	18	5	10.44	169.1
7	12	18	6	13.18	149.2
7	12	18	7	19.12	163.4
7	12	18	8	24.1	173.9
7	12	18	9	27.82	171.7
7	12	18	10	32.09	172
7	12	18	11	32.73	176.4
7	12	18	12	32.74	180.1
7	12	18	13	28.86	177.7
7	12	18	14	29.11	173.8
7	12	18	15	29.03	186.6
7	12	18	16	35.81	208.8
7	12	18	17	39.97	213
7	12	18	18	45.44	216.4
7	12	18	19	43.09	216.9
7	12	18	20	41.57	214
7	12	18	21	48.29	216.7
7	12	18	22	44.82	217.8
7	12	18	23	57.82	221
7	12	18	24	45.73	224.6
7	12	19	1	42.68	220.3
7	12	19	2	35.17	209.9
7	12	19	3	32.38	207.7
7	12	19	4	26.2	201.6
7	12	19	5	27.58	207
7	12	19	6	26.2	209.2
7	12	19	7	24.15	206.4
7	12	19	8	24.51	196.5
7	12	19	9	29.41	193.9
7	12	19	10	39.01	188.2
7	12	19	11	44.04	187.5
7	12	19	12	42.95	204.3
7	12	19	13	41.63	203.9
7	12	19	14	40.41	203.7
7	12	19	15	47.58	211.8
7	12	19	16	44.55	213.3
7	12	19	17	34.89	209.3
7	12	19	18	32.03	204.2
7	12	19	19	40.73	204.5
7	12	19	20	50.11	209.1
7	12	19	21	51.21	208
7	12	19	22	45.98	208.9
7	12	19	23	40.27	212.4
7	12	19	24	40.78	220.1
7	12	20	1	34.21	229.6
7	12	20	2	37.33	228.4
7	12	20	3	39.17	221.8
7	12	20	4	37.26	218
7	12	20	5	36.18	225.4
7	12	20	6	26.72	238.7
7	12	20	7	32.1	221.3
7	12	20	8	34.43	217.5
7	12	20	9	28.7	215.9
7	12	20	10	29.63	217.7
7	12	20	11	31.92	227.2
7	12	20	12	32.32	229
7	12	20	13	35.23	228.9
7	12	20	14	36.86	228.8
7	12	20	15	33.6	224.8
7	12	20	16	31.94	224.1
7	12	20	17	30.87	229.4
7	12	20	18	31.9	229.8
7	12	20	19	33.75	227.1
7	12	20	20	28.76	226.3
7	12	20	21	22.09	233.1
7	12	20	22	20.95	229.6
7	12	20	23	21.42	229.3
7	12	20	24	21.11	245.4
7	12	21	1	16.85	256
7	12	21	2	15.05	256
7	12	21	3	15.45	248.4
7	12	21	4	10.84	253.8
7	12	21	5	7.672	265.3
7	12	21	6	5.417	257.2
7	12	21	7	8.17	231.2
7	12	21	8	11.33	225.5
7	12	21	9	12.28	225.5
7	12	21	10	12.79	219.5
7	12	21	11	11	202.2
7	12	21	12	13.28	200.5
7	12	21	13	13.68	192.1
7	12	21	14	16.06	191
7	12	21	15	18.81	188.6
7	12	21	16	19.56	192.9
7	12	21	17	21.55	203.8
7	12	21	18	20.14	198.9
7	12	21	19	22.19	194.1
7	12	21	20	21.83	186.5
7	12	21	21	22.78	186.9
7	12	21	22	23.48	190
7	12	21	23	25.38	187.5
7	12	21	24	17.52	185.9
7	12	22	1	15.63	177.1
7	12	22	2	18.78	180
7	12	22	3	20.48	173.4
7	12	22	4	18.57	162.3
7	12	22	5	11.51	161.9
7	12	22	6	15.15	177.9
7	12	22	7	16.46	206.4
7	12	22	8	13.68	187
7	12	22	9	20.87	166.1
7	12	22	10	23.83	171
7	12	22	11	19.24	175.3
7	12	22	12	19.52	202.5
7	12	22	13	29.81	198.8
7	12	22	14	39.13	194.5
7	12	22	15	35.75	190.7
7	12	22	16	35.88	204.6
7	12	22	17	42.45	213.3
7	12	22	18	36.67	212.4
7	12	22	19	29.37	210.2
7	12	22	20	23.92	214.5
7	12	22	21	29.65	211.6
7	12	22	22	26.13	208.8
7	12	22	23	25.87	217.8
7	12	22	24	25.83	221.5
7	12	23	1	21.18	215.8
7	12	23	2	19.85	206.5
7	12	23	3	17.56	206.2
7	12	23	4	15.42	202.4
7	12	23	5	15.7	195.3
7	12	23	6	23.65	205.5
7	12	23	7	25.87	195.9
7	12	23	8	20.98	188
7	12	23	9	18.2	186
7	12	23	10	14.94	176.8
7	12	23	11	17.41	171.5
7	12	23	12	20.13	162.4
7	12	23	13	22.62	167
7	12	23	14	19.92	177.7
7	12	23	15	19.76	180.3
7	12	23	16	23.43	195.9
7	12	23	17	23.51	207.8
7	12	23	18	21.24	214
7	12	23	19	23.13	210.9
7	12	23	20	23.6	221.3
7	12	23	21	27.34	215
